archive,head_type,wrapper_animation,metadata_variant,hair,offset_json,selected_for_render,authored_variant_present
headwear_headwear061,3,default,3,125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear061,3,default,4,49,"[0.0, 0.0, 10.0, 0.019999999552965164, 0.05000000074505806, 0.0]",False,True
headwear_headwear062,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear062,3,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear062,3,default,2,127,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear062,3,default,3,125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear062,3,default,4,49,"[0.0, 0.0, 0.0, 0.0, 0.05000000074505806, 0.0]",False,True
headwear_headwear063,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear063,3,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear063,3,default,2,127,"[20.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear063,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear063,3,default,4,46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear064,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear064,3,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear064,3,default,2,127,"[20.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear064,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear064,3,default,4,46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear065,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear065,3,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear065,3,default,2,127,"[30.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear065,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear065,3,default,4,46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear066,3,default,0,76,"[0.0, 0.0, 0.0, -0.03500000014901161, 0.03500000014901161, -0.029999999329447746]",False,True
headwear_headwear066,3,default,1,83,"[12.0, 0.0, 0.0, -0.02199999988079071, 0.02199999988079071, 0.0]",True,True
headwear_headwear066,3,default,2,61,"[-10.0, 0.0, 0.0, 0.0, 0.0, -0.07000000029802322]",False,True
headwear_headwear066,3,default,3,46,"[0.0, 0.0, -10.0, 0.05000000074505806, 0.05000000074505806, 0.0]",False,True
headwear_headwear066,3,default,4,114,"[0.0, 0.0, -10.0, 0.05000000074505806, 0.05000000074505806, 0.0]",False,True
headwear_headwear067,3,default,-1,,,True,False
headwear_headwear068,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear068,3,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear068,3,default,2,127,"[20.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear068,3,default,3,114,"[0.0, 0.0, -10.0, 0.07000000029802322, 0.03999999910593033, 0.0]",False,True
headwear_headwear068,3,default,4,46,"[0.0, 0.0, -10.0, 0.07000000029802322, 0.03999999910593033, 0.0]",False,True
headwear_headwear069,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear069,3,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear069,3,default,2,127,"[20.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear069,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear069,3,default,4,46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear070,7,forHeadgear,-1,,,True,False
headwear_headwear071,6,forCap,-1,,,True,False
headwear_headwear072,8,forHeadgear,-1,,,True,False
headwear_headwear073,6,forCap,-1,,,True,False
headwear_headwear074,1,default,0,59,"[-25.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear074,1,default,1,44,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear074,1,default,2,51,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear074,1,default,3,63,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear074,1,default,4,69,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582]",False,True
headwear_headwear075,1,default,0,59,"[-25.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear075,1,default,1,44,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear075,1,default,2,51,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear075,1,default,3,63,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear075,1,default,4,69,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582]",False,True
headwear_headwear076,2,default,-1,,,True,False
headwear_headwear077,6,forCap,-1,,,True,False
headwear_headwear078,8,forHeadgear,-1,,,True,False
headwear_headwear079,1,default,-1,,,True,False
headwear_headwear080,1,default,-1,,,True,False
headwear_headwear081,1,default,-1,,,True,False
headwear_headwear082,8,forHeadgear,-1,,,True,False
headwear_headwear083,6,forCap,-1,,,True,False
headwear_headwear084,6,forCap,-1,,,True,False
headwear_headwear085,6,forCap,-1,,,True,False
headwear_headwear086,6,forCap,-1,,,True,False
headwear_headwear087,6,forCap,-1,,,True,False
headwear_headwear088,6,forCap,-1,,,True,False
headwear_headwear089,6,forCap,-1,,,True,False
headwear_headwear090,6,forCap,-1,,,True,False
headwear_headwear091,6,forCap,-1,,,True,False
headwear_headwear092,6,forCap,-1,,,True,False
headwear_headwear093,6,forCap,-1,,,True,False
headwear_headwear094,6,forCap,-1,,,True,False
headwear_headwear095,6,forCap,-1,,,True,False
headwear_headwear096,6,forCap,-1,,,True,False
headwear_headwear097,6,forCap,-1,,,True,False
headwear_headwear098,6,forCap,-1,,,True,False
headwear_headwear099,6,forCap,-1,,,True,False
headwear_headwear100,6,forCap,-1,,,True,False
headwear_headwear101,6,forCap,-1,,,True,False
headwear_headwear102,2,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear102,2,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear102,2,default,2,127,"[20.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear102,2,default,3,114,"[0.0, 0.0, -10.0, 0.0, 0.029999999329447746, -0.05000000074505806]",False,True
headwear_headwear102,2,default,4,46,"[0.0, 0.0, -10.0, 0.0, 0.029999999329447746, -0.05000000074505806]",False,True
headwear_headwear103,1,default,-1,,,True,False
headwear_headwear104,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear104,3,default,1,79,"[20.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear104,3,default,2,127,"[30.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear104,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear104,3,default,4,46,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear105,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear105,3,default,1,79,"[20.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear105,3,default,2,127,"[30.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear105,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear105,3,default,4,46,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear106,6,forCap,-1,,,True,False
headwear_headwear107,6,forCap,-1,,,True,False
headwear_headwear108,6,forCap,-1,,,True,False
headwear_headwear109,6,forCap,-1,,,True,False
headwear_headwear110,8,forHeadgear,-1,,,True,False
headwear_headwear111,6,forCap,-1,,,True,False
headwear_headwear112,2,default,0,54,"[0.0, 0.0, 0.0, 0.07000000029802322, -0.05000000074505806, 0.0]",False,True
headwear_headwear113,6,forCap,-1,,,True,False
headwear_headwear114,6,forCap,-1,,,True,False
headwear_headwear115,6,forCap,-1,,,True,False
headwear_headwear116,6,forCap,-1,,,True,False
headwear_headwear117,2,default,-1,,,True,False
headwear_headwear118,2,default,-1,,,True,False
headwear_headwear119,6,forCap,-1,,,True,False
headwear_headwear120,8,forHeadgear,-1,,,True,False
headwear_headwear121,8,forHeadgear,-1,,,True,False
headwear_headwear122,7,forHeadgear,-1,,,True,False
headwear_headwear123,8,forHeadgear,-1,,,True,False
headwear_headwear124,10,default,0,79,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear124,10,default,1,127,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear124,10,default,2,26,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, -0.05000000074505806]",False,True
headwear_headwear125,6,forCap,-1,,,True,False
headwear_headwear126,6,forCap,-1,,,True,False
headwear_headwear127,6,forCap,-1,,,True,False
headwear_headwear128,6,forCap,-1,,,True,False
headwear_headwear129,6,forCap,-1,,,True,False
headwear_headwear130,6,forCap,-1,,,True,False
headwear_headwear131,6,forCap,-1,,,True,False
headwear_headwear132,6,forCap,-1,,,True,False
headwear_headwear133,6,forCap,-1,,,True,False
headwear_headwear134,6,forCap,-1,,,True,False
headwear_headwear135,1,default,-1,,,True,False
headwear_headwear136,6,forCap,-1,,,True,False
headwear_headwear137,6,forCap,-1,,,True,False
headwear_headwear138,8,forHeadgear,-1,,,True,False
headwear_headwear139,6,forCap,-1,,,True,False
headwear_headwear140,8,forHeadgear,-1,,,True,False
headwear_headwear141,8,forHeadgear,-1,,,True,False
headwear_headwear142,1,default,-1,,,True,False
headwear_headwear143,1,default,-1,,,True,False
headwear_headwear144,6,forCap,-1,,,True,False
headwear_headwear145,1,default,-1,,,True,False
headwear_headwear146,6,forCap,-1,,,True,False
headwear_headwear147,6,forCap,-1,,,True,False
headwear_headwear148,1,default,-1,,,True,False
headwear_headwear149,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear149,3,default,1,83,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear149,3,default,2,5,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear149,3,default,3,79,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear149,3,default,4,27,"[0.0, 0.0, 15.0, -0.03999999910593033, 0.0, 0.0]",False,True
headwear_headwear150,6,forCap,-1,,,True,False
headwear_headwear151,6,forCap,-1,,,True,False
headwear_headwear152,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear152,3,default,1,79,"[20.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear152,3,default,2,127,"[30.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear152,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear152,3,default,4,46,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear153,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear153,3,default,1,79,"[20.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear153,3,default,2,127,"[30.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear153,3,default,3,114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear153,3,default,4,46,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear154,3,default,-1,,,True,False
headwear_headwear155,6,forCap,-1,,,True,False
headwear_headwear156,5,default,-1,,,True,False
headwear_headwear157,8,forHeadgear,-1,,,True,False
headwear_headwear158,8,forHeadgear,-1,,,True,False
headwear_headwear159,1,default,-1,,,True,False
headwear_headwear160,7,forHeadgear,-1,,,True,False
headwear_headwear161,8,forHeadgear,-1,,,True,False
headwear_headwear162,10,default,0,79,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear162,10,default,1,127,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear162,10,default,2,26,"[-14.0, 0.0, 0.0, 0.0, 0.0, -0.05000000074505806]",False,True
headwear_headwear162,10,default,3,76,"[0.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.05000000074505806]",False,True
headwear_headwear162,10,default,4,54,"[0.0, 0.0, 0.0, 0.0, -0.05000000074505806, 0.019999999552965164]",False,True
headwear_headwear163,3,default,0,76,"[0.0, 0.0, 0.0, -0.07999999821186066, 0.0, 0.0]",False,True
headwear_headwear163,3,default,1,79,"[20.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear163,3,default,2,127,"[30.0, 0.0, 10.0, 0.02500000037252903, 0.0, 0.10000000149011612]",False,True
headwear_headwear163,3,default,3,83,"[0.0, 0.0, 0.0, -0.07999999821186066, 0.0, 0.0]",False,True
headwear_headwear164,2,default,-1,,,True,False
headwear_headwear165,8,forHeadgear,-1,,,True,False
headwear_headwear166,8,forHeadgear,-1,,,True,False
headwear_headwear167,3,default,0,54,"[0.0, 0.0, 0.0, 0.019999999552965164, -0.05000000074505806, 0.0]",False,True
headwear_headwear168,8,forHeadgear,-1,,,True,False
headwear_headwear169,1,default,-1,,,True,False
headwear_headwear170,2,default,-1,,,True,False
headwear_headwear171,3,default,-1,,,True,False
headwear_headwear172,1,default,0,59,"[-25.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear172,1,default,1,121,"[-25.0, 0.0, 0.0, 0.0, 0.029999999329447746, 0.0]",False,True
headwear_headwear172,1,default,2,54,"[-25.0, 0.0, 0.0, 0.0, 0.029999999329447746, 0.0]",False,True
headwear_headwear174,7,forHeadgear,-1,,,True,False
headwear_headwear175,7,forHeadgear,-1,,,True,False
headwear_headwear176,1,default,-1,,,True,False
headwear_headwear177,6,forCap,-1,,,True,False
headwear_headwear178,8,forHeadgear,-1,,,True,False
headwear_headwear179,8,forHeadgear,-1,,,True,False
headwear_headwear180,2,default,-1,,,True,False
headwear_headwear181,8,forHeadgear,-1,,,True,False
headwear_headwear182,6,forCap,-1,,,True,False
headwear_headwear183,8,forHeadgear,-1,,,True,False
headwear_headwear184,9,default,-1,,,True,False
headwear_headwear185,8,forHeadgear,-1,,,True,False
headwear_headwear186,2,default,-1,,,True,False
headwear_headwear187,2,default,-1,,,True,False
headwear_headwear188,10,default,0,79,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear188,10,default,1,127,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear188,10,default,2,26,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, -0.05000000074505806]",False,True
headwear_headwear188,10,default,3,76,"[0.0, 0.0, 0.0, 0.0, -0.02800000086426735, 0.02800000086426735]",False,True
headwear_headwear188,10,default,4,54,"[0.0, 0.0, 0.0, 0.0, -0.07000000029802322, 0.0]",False,True
headwear_headwear189,2,default,-1,,,True,False
headwear_headwear190,1,default,-1,,,True,False
headwear_headwear191,2,default,-1,,,True,False
headwear_headwear192,1,default,-1,,,True,False
headwear_headwear193,2,default,-1,,,True,False
headwear_headwear194,6,forCap,-1,,,True,False
headwear_headwear195,10,default,0,79,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear195,10,default,1,127,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.0]",False,True
headwear_headwear195,10,default,2,26,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, -0.05000000074505806]",False,True
headwear_headwear196,8,forHeadgear,-1,,,True,False
headwear_headwear197,1,default,-1,,,True,False
headwear_headwear202,6,forCap,-1,,,True,False
headwear_headwear203,6,forCap,-1,,,True,False
headwear_headwear204,6,forCap,-1,,,True,False
headwear_headwear205,8,forHeadgear,-1,,,True,False
headwear_headwear206,6,forCap,-1,,,True,False
headwear_headwear207,6,forCap,-1,,,True,False
headwear_headwear208,6,forCap,-1,,,True,False
headwear_headwear209,6,forCap,-1,,,True,False
headwear_headwear210,6,forCap,-1,,,True,False
headwear_headwear211,6,forCap,-1,,,True,False
headwear_headwear213,10,default,0,79,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.019999999552965164]",False,True
headwear_headwear213,10,default,1,127,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.019999999552965164]",False,True
headwear_headwear213,10,default,2,26,"[-18.0, 0.0, 0.0, 0.0, -0.029999999329447746, -0.10000000149011612]",False,True
headwear_headwear213,10,default,3,54,"[0.0, 0.0, 0.0, 0.0, -0.05000000074505806, 0.0]",False,True
headwear_headwear213,10,default,4,76,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear214,8,forHeadgear,-1,,,True,False
headwear_headwear215,6,forCap,-1,,,True,False
headwear_headwear216,6,forCap,-1,,,True,False
headwear_headwear217,6,forCap,-1,,,True,False
headwear_headwear218,6,forCap,-1,,,True,False
headwear_headwear219,1,default,0,59,"[-25.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear219,1,default,1,121,"[-25.0, 0.0, 0.0, 0.0, 0.029999999329447746, -0.05000000074505806]",False,True
headwear_headwear219,1,default,2,54,"[-5.0, 0.0, 0.0, 0.0, 0.0, -0.05000000074505806]",False,True
headwear_headwear219,1,default,3,76,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.07500000298023224]",False,True
headwear_headwear220,6,forCap,-1,,,True,False
headwear_headwear221,6,forCap,-1,,,True,False
headwear_headwear222,6,forCap,-1,,,True,False
headwear_headwear223,8,forHeadgear,-1,,,True,False
headwear_headwear224,8,forHeadgear,-1,,,True,False
headwear_headwear225,6,forCap,-1,,,True,False
headwear_headwear226,6,forCap,-1,,,True,False
headwear_headwear227,6,forCap,-1,,,True,False
headwear_headwear228,1,default,-1,,,True,False
headwear_headwear229,6,forCap,-1,,,True,False
headwear_headwear230,8,forHeadgear,-1,,,True,False
headwear_headwear231,8,forHeadgear,-1,,,True,False
headwear_headwear233,6,forCap,-1,,,True,False
headwear_headwear234,7,forHeadgear,-1,,,True,False
headwear_headwear235,6,forCap,-1,,,True,False
headwear_headwear236,7,forHeadgear,-1,,,True,False
headwear_headwear237,6,forCap,-1,,,True,False
headwear_headwear238,6,forCap,-1,,,True,False
headwear_headwear239,6,forCap,-1,,,True,False
headwear_headwear240,1,default,0,58,"[0.4000000059604645, 0.0, 0.0, 0.0, 0.029999999329447746, 0.0]",False,True
headwear_headwear240,1,default,1,73,"[0.44999998807907104, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear240,1,default,2,83,"[0.699999988079071, 0.0, 0.0, 0.0, -0.029999999329447746, 0.05000000074505806]",False,True
headwear_headwear240,1,default,3,59,"[-50.0, 0.0, 0.0, 0.0, 0.03999999910593033, -0.15000000596046448]",False,True
headwear_headwear241,1,default,0,31,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.029999999329447746]",False,True
headwear_headwear242,6,forCap,-1,,,True,False
headwear_headwear243,8,forHeadgear,-1,,,True,False
headwear_headwear244,6,forCap,-1,,,True,False
headwear_headwear245,8,forHeadgear,-1,,,True,False
headwear_headwear246,8,forHeadgear,-1,,,True,False
